QT000000000	D Frau isch jung.
QT000000011	Die meiste Goal i eim Spiil: 13-12 (25 Goal) FC Helsingborg – Balrog IK 2008/2009[1] De höchst Siig: 21-1 (20 Goal Differenz) Jönköpings IK - Christianstad IBS 1990/1991[1] S'schnellste Goal: 3 Sekunde Martin Myrberg, Umeå IBK geg Örnsköldsviks SK 1990/1991[1] De schnellst Hattrick: 1 Minute, 7 Sekunden Martin Olofsson, Örnsköldsviks SK geg Balrog IK 2000/2001[1] Die meiste Goal vo eim Spiiler i eim Spiil: 8 Dan Lundqvist, Sjöstad IF geg Järfälla IBK 2000/2001[1] 8 Alexander Galante Carlström, Falun Caperiotäby IBF geg Järfälla IBK 2012/2013[1] Di meiste Assists vo eim Spiiler i eim Spiil: 9 Mika Kohonen, Balrog IK geg Jönköpings IK 2000/2001[1] Die meiste Scorerpünkt (Goal+Assists) vo eim Spiiler i eim Spiil: 11 (6+5), Martin Olofsson, Örnsköldsviks SK geg Fornuddens IBK 2000/2001[1] 11 (2+9), Mika Kohonen, Balrog IK geg Jönköpings IK 2000/2001[1] Di meiste Goal vo eim Spiiler inere Saison: 60, Johan Andersson, Jönköpings IK 2003/2004[1] Di meiste Assists vo eim Spiiler i eim Spiil: 68, Mika Kohonen, Balrog IK 2000/2001[1] Di meiste Scorerpünkt vo eim Spiiler inere Saison: 107, Mika Kohonen, Balrog IK 2000/2001[1] Di meiste Zuschauer i eim Spiil (reguläri Saison): 9.487, Pixbo Wallenstam IBK - Caperiotäby FC 2009/2010[2] Di meiste Zuschauer i eim Spiil (Superfinal): 14.656, AIK - Warberg IC 2004/2005[2]
QT000000012	I glaub et, dass se durchheld.
QT000000013	Tom hot a baar dode Fisch aufm See schwemma gsäå.
QT000000014	Etz kommåd diå luschdige dääg.
QT000000015	Wär die Hilfe vo Andre braucht, sodd demidig sai.
QT000000016	Du bisch a bißle bleed.
QT000000017	Vo det a het er im Militär e steili Karriere gmacht.
QT000000018	Dees bedeidet doch ebbes.
QT000000019	Saine Witz dend weh.
QT000000020	Es witers Problem vo de Schizohrenie ist d'SSuizidgfohr: Öppe 10% bis 15% vo de Betroffene bringed sich selber um. Das isch vor allem es Problem vo jüngere männliche Erwachene.
QT000000021	Im Juli 2017 het sie ihren Erfolg beim Challenge Roth verteidiget.
QT000000022	Interview mit Carla Juri in: Der Rheintaler vom 16. März 2012. (Memento vom 13.
QT000000023	D Niderland sind hüt de gröschti Usslandmärt für Rivella.
QT000000024	Noch vierzeeh Däg Urlaub woiss mr, was wirklich wichdig isch em Läba. Urlaub!
QT000000025	Rudolf Silvan (* 1967), österriichische Politiker (SPÖ), Abgordnete
QT000000026	Tom hôd bis zwelfe middags gschlôfå, s'war jô Sonndig.
QT000000027	S Bärnshüser Wabbe isch z erscht mol anne 1423 erwähnt wore. Dr Duderstädter Rotsherr Werner vu Bhn het im Wabbeschild drei Rose uf eme rächtsgrichtete Schrägbalke.
QT000000028	Ab em 15. Johrhundert wird nur noch de Gograf als üsgwählte un gschworene Richter gnännt.
QT000000029	Soo han i des ned glärnd.
QT000000030	En grosse Teil wird aber vomene Gebläs wäggblase.
QT000000031	Im Juni 2014 het sie z Rapperswil-Jona bi irem Sieg bim Ironman 70.3 Switzerland iri bishärigi Bestzyt uf de Mitteldistanz erreicht.
QT000000032	Wenn älle Menschå sich emmr beischdandå dädåd, breicht neamrds des Gligg.
QT000000033	Dahoim will wenigschdens d'Waschmaschee von mir o'gmanchd werda.
QT000000034	Wenn å Bedrieb guad laufd, wird d'Aktie schlussendlich folgå.
QT000000035	I brauch koi Google – mei Weib woiß eh älles besser!
QT000000036	Mir hend no ned oi Prozent von dem Schdernåsischdem erforschd.
QT000000037	„Kensch du die schwäbische Schorle?“ – „Obends a Fläschle Wein – morgens a Släschle Schbrudl.“
QT000000038	I de erschte Jaar nachde Gründig isch de Verein nur mit Erwachseneteams id Saison gstartet, ersch 1995 isch es Juniore- und 1998 denn au es Juniorinneteam dezue cho.
QT000000039	Du bisch stark ond gross wäga Spätzla mid Soss.
QT000000040	Wär aus Schbaniå zriggkommd, muaß 14 Däg quarantäneartig dahoim bleibå.
QT000000041	D'Pflichd rufd! – Sag 'r, i ruaf zrugg!
QT000000042	Au d Ufgabe nach dä Wiiläsi wie s Härstelle und s Verchaufe vom Wii ghöred zum Bruefsbild vom Winzer.
QT000000043	I han main Rägaschirm ergendwo gedangälos en d Ecke gschdelld.
QT000000044	Seine Frau , Rebbetzin Guttel Schach , starb 1969 an Komplikationen , die von ihrem Diabetes herrührten .
QT000000045	Liebr a gsonde Liadrigkeit, wie a liadrige Gsondheit.
QT000000046	Mir hend heit koi Zeit fir ebbes andres.
QT000000047	I han å schlächds Vorgfiel.
QT000000048	Dr Schiedsrichdr pfeifd die Partie ab.
QT000000049	Onsre Gäul send miad.
QT000000050	Bisch du vrkäldet?
QT000000051	S'gôhd om Ihre Schwester.
QT000000052	's isch zwor heit Sonndich, aber i fühl mi vom Meedich scho beläschdigd.
QT000000053	Bloß Ozfridähaid ruåfd Widrstand hervor
QT000000054	Rivella Light isch 1958 als Diabetes-Getränk i de Niderlande lanciert worde, es Jahr schpöter (1959) isch es als Rivella Blau uf de Schwiizer Märt cho.
QT000000055	Wär frei isch, isch ôågreifbar.
QT000000056	Frier warsch du bildschee! Heit isch nur no dai Bild schee!
QT000000057	Dô dribr mechd i liäbr ned schwätzä.
QT000000058	Der wird reich, der en Ondernehmongå inveschdierd, diå weniger koschded als se wärd send.
QT000000059	A hausigs Weib isch d' beschd Schbarkass!
QT000000060	Winzermeister, Wiimeister, Wiibaumeister
QT000000061	Die Prüefig zum diplomierte Telematiker isch e höheri Fachprüefig.
QT000000062	Se hôd koi Arbet ghett, koin Fraind, koi Gäld ond koi Wohnung.
QT000000063	Anne 1438 un 1626 isch Bärnshüse im Kreag zerstehrt wore. Ä groß Fir het anne 1897 im Dorf viel kabütt gmacht un 100 Lit hänn wäge däm kei Dach me iberem Kopf gha.[1]
QT000000064	Rudolf Epp: Wiiläsi um 1905
QT000000065	Dee Sieg het ire ou die no fählende Pünkt im «Kona Pro Ranking System» vo de WTC brocht für ne Start drü Möned spöter bim Ironman Hawaii.
QT000000066	Telematiker plane Telekommunikations- und Informatiknetzwerke und sind für d Störungsbehebig verantwortlich.
QT000000067	Dr kranke Kerpr frait sich iber an xondå Geischd.
QT000000068	Dr Honger isch dr beschde Koch.
QT000000069	D'Premier Floorball League (PFL) isch e neu planti schwedischi Liga, wo im September 2019 starte sött.
QT000000070	Gäld koschdet zviel.
QT000000071	„Lass mi, i koa dees!“ – „Oh, jetzd ischs hee...“
QT000000072	I benn ned bsondrs nervees.
QT000000073	Schwätz ned so domm dåhär!
QT000000074	S'isch meglich, dass i mai ganzes Läbå em Gfengnis sai muass.
QT000000075	Gibts å Schdudendåwohnhaim mid Kantine?
QT000000076	Wär lachä kô, wo er hät keilä kennä, griegt wiedr Luschd am Läbä.
QT000000077	Ide folgende Mönet hend trotz städtische Verbot regelmässig guet bsuechti Fiire ide alte Chleiderfabrik stattgfunde, wo de Enthusiasmus ds Projekt wider in Angriff zne, verstärkt hend.
QT000000078	No ned huddla.
QT000000079	Dees Bedd isch no warm.
QT000000080	Maria hôd å hellå Haud ond kuurze Lecklå.
QT000000081	I will wissa, was du macha dädeschd.
QT000000082	'S isch abheersicher dank em Schwäbischa Dialekt!
QT000000083	Weil i då ganze Dag gschaffd han, benn i sähr miåd gwä.
QT000000084	D'Usprägig vo de Symptom isch sehr variabel, und hängt stark vo de Persönlichkeit vom Patient ab.
QT000000085	I benn als zwoide ôkommå.
QT000000086	Schneggå ässå isch schwierig.
QT000000087	Wötsch hüt det ane?
QT000000088	Eara Dogg isch vom a Auto ibrfahra worra.
QT000000089	Älle Wäg fangad mid ma Schritt oa.
QT000000090	I mechd so gärn ebbes ässå, abr ned hier.
QT000000091	I läs koine Zeidongå. Was wirkle wichdig isch, erfahr i an dr Börse.
QT000000092	Mehręre Forschongsairichtonga en Puschtschino ghérąt zęr Russischą Akademie vó de Wissąschaftą.
QT000000093	London isch oine von de gröschde Städt uff dr Weld.
QT000000094	Wem mr ned auf kloine Gwenn vrzichdå koå, wird mr koine große Gwenn machå.
QT000000095	Du bisch so an Esel, Tom!
QT000000096	Å Dame isch ä Frau, diä woiß, was se ned wissä derf, obwohl ses woiß.
QT000000097	S Buech isch grüen.
QT000000098	D'Manna hend zwar d'Hosa oa – aber d'Weiber saged ne, welche.
QT000000099	Daine Auga send schee
QT000000100	Wenn d'Weiber sagad: „Schee fir di“, isch's älles, no ned schee!
QT000000101	I kenn ihrån Vaddr.
QT000000102	Meget ihr no ebbas Domatasupp?
QT000000103	Mir wohnäd seid drei Johr zsammä.
QT000000104	Hôsch du mi vrpetzt? Dr Lährer hôd mi so komisch åguggd.
QT000000105	Liebe isch s'Oinzige, was wexd, wem mr s'vrschwendåd.
QT000000106	Im Johr 2000 het d Daniela Ryf zerst Mou amene Schüelertriathlon deilgnoo.
QT000000107	D Daniela Ryf noch em Rönne i dr World Championship Series z Madrid, 2010
QT000000108	Wie laufd dai Projekt?
QT000000109	Filmografii (Uuswahl)
QT000000110	So gnau welled mir dees gar ed wisså.
QT000000111	Moa mid Grill suchd Weib mid Kohle.
QT000000112	Mai Schwschdr hôd mir beibrôchd, wiå mr d'Håår flächdåd.
QT000000113	Seit 2004 isch sie Präsidentin vom Stiftigsrat vo de Stiftig «Temperatio» und sitzt seit 2005 im Stiftigsrat vo de Stiftig «Gegenwart».
QT000000114	Kunst, vor allem aber Ökologie und Verhaltensforschig bi Tier und Mänsche, bliibed bis hüt im Fokus vo ihrem Interesse.
QT000000115	Anschainends glaubschd du mir eddå.
QT000000116	De Guisan isch Bürger vo Avenches und Mézières gsi.
QT000000117	Oiner håd ja endlich domid åfanga miasa.
QT000000118	I mach's bloß, weil du's bisch.
QT000000119	Verein 2018/19
QT000000120	Im Jahr 1921 isch d Guggenheim uf Paris zoge, het det s Läbe vo de Bohème gnosse und vili Künstler und Schriftsteller känneglehrt, wo iri Fründe worde sind, under anderem d Djuna Barnes, de Marcel Duchamp und de Man Ray, wo 1924 e Porträtserii vo ire gschaffe het.[2] 1922 het sie de französischi Maler und Bildhauer Laurence Vail ghürate; us dere Verbindig stammed iri beide Chind Sindbad (1923–1986) und Pegeen Vail Guggenheim (1925–1967).
QT000000121	Zure Eskalation isch es cho, als am 7. Dezember 1991 die Rechtsradikal Mutschellenfront (RMF) id Chleiderfabrik iidrunge isch und für ihri Zwäck missbrucht händ.[1] Weg dem Vorfall hend Brüeder Meyer vode Stadt d Ufforderig becho, d Ligeschaft bis zum 15. Februar 1992 zuezmuure.
QT000000122	An Fuchs isch schlau ond schdelld sich domm – bei manchna isch des andersrom!
QT000000123	Frôg mi gfälligschd, bevor du meine Kloidr ausleihschd.
QT000000124	Hôsch du no Angschd em Donklå?
QT000000125	No ka ies schaffa bis om halber drui.
QT000000126	Was är sagd, isch hoilig.
QT000000127	Sie hôd iran Salad et gässå.
QT000000128	Kenndet Sia des Kend badä?
QT000000129	I hets ahalda kenna.
QT000000130	Hoimet isch då, wo die Sääle dahoim isch.
QT000000131	I benn an Idealischd. I woiß ned, wonô i gang, abr i gang main Weg.
QT000000132	Sie hot den Briaf emmer wiedr nochamaol gläsa.
QT000000133	Waas koa mr do no macha?
QT000000134	Johrhundert a Fliehburg ungfähr 400 m südlig vum hitige Üsloif vu dr Aue gschdande isch.
QT000000135	Im Durchnitt is die erschti Behandlig öppe zwei monät noch em Anfang vo de erschte akute Phase.
QT000000136	Seit zwoi Wocha mach i Diät ond *s oinzige, was i vrlora han, send zwoi Wocha!
QT000000137	Du kôsch en därå Weld bloß läbå, wenn du se zu deinrå Liebschdå machsch.
QT000000138	Wenn mir fählerfrei wäräd, nô dädet mir et so viel Fraid han, Fählr bei andre zfendä.
QT000000139	No 20 cm wachsa, ond i han mei Idealgwicht.
QT000000140	1 2 Publikrekord, grundserien. ↑ Etienne Güngerich: Kommt es zur Revolution? ↑ Teilnehmer der neuen Premier Floorball League stehen fest – Floorballmag. ↑ Anne-Jan Hempenius: The SSL-drama briefly summarized - FloorballToday.
QT000000141	Gell, do glodschd!
QT000000142	Mai eldeschde Schweschdr isch scho gschdorbä.
QT000000143	Er machd an ganz ährlichn Aidrugg.
QT000000144	Positivsympotm sind also senigi, die gegenüber emene gsunde Zustand z'vil sind.
QT000000145	Kender, bis jedzd hemm mr Glick ghett. Driggad Daumå, dass es so weidergohd.
QT000000146	Des isch abr amôle ä schees Haus.
QT000000147	Im Jahr 1948 het d Guggenheim en Yladig übercho, iri Kunstsammlig uf de Biennale vo Venedig uuszstelle.
QT000000148	Was isch a naggads Weib uff ma Kaschda Bier? – Em Weg!
QT000000149	Nume e Wuche spöter isch sie bei de nächste Langdistanz gstartet und het dr Ironman Switzerland mit nöiem Streckerekord uf de nöie Streckefüehrig aalässlech vo de 20. Ustragig gwunne.
QT000000150	Ausbildig
QT000000151	Am 19. Dezämber 2006 isch sie z Val-d’Isère bi de vierte Weltcupabfahrt vo irere Karriere überraschend uf de nünti Platz gfahre.
QT000000152	Tom hôd von sainer Großmuadr å Gschenk griågd.
QT000000153	Det het sie au d Chinderziitschrift Panda-Club usegeh.
QT000000154	I war nô niå em Zirkus.
QT000000155	Dees isch fai liab von dir, dass du mi vom Bôhof abholschd.
QT000000156	Die meischte Lüt mit Schizophrenie hend kei dürendi kognitivi Problem, obwohl de Begriff Dementia praecox oft zu dem Irrtum verleitet.[3] Es wird diskutiert, ob d' Schizophrenie en einzigi Krankheit isch, oder ob nöd Mehreri Krankheite mit unterschidliche Ursache zämespilend.
QT000000157	An Smoothie isch dr neie Weg, ma Seggl a Banane fir 2 Euro zom vrkaufa!
QT000000158	Wär ibrnemmd die Koschda?
QT000000159	Erschine am 29. Juli 2009 uf CaptainCork.com ↑ Helmut Hans Dittrich, Manfred Großmann: Mikrobiologie des Weines. 3.
QT000000160	Filialeną vó dęr РАН (Russische Akademie der Wissenschaften)
QT000000161	Zwischą dęr DEG on' dęr WEG isch seit 1968 ą emmęr stärkere Vęrbendong entstandą, wó nå ao d'DEG dęr gréßte Tail vodde Gschäftsfiąhrongsufgábeną iąbęrnommą hot.
QT000000162	Wirddabergischer Bokalsieger 1988 Wirddabergischer Moischder ond Aufschdieg en d Regionalliga 1992 Wirddaberg-Liga-Moischder 2006 Bezirkspokalsieger 2003, 2006, 2018
QT000000163	Bitteschöön.
QT000000164	I war diregd hendr dir!
QT000000165	„Wia hoißt des Zaubrwörtle?“ – „Bidde!“
QT000000166	Dea het er fir 4 Pfännig vukoift.
QT000000167	Institút fir Aiweißforschong (ИБ РАН) Institút fir Zellbiophysik (ИБК РАН) Institút fir Biochemie ond Physiologie vó Mikroorganismą "G. K. Skrjabin" (ИБФМ РАН) Institút fir Grondproblém vó dęr Biologie (ИМПБ РАН) Institút fir fondamentále Problém vó dęr Biologie (ИФПБ РАН) Institút fir physikalisch-chemische ond biologische Problém vó dęr Bódąkonde (ИФХиБПП РАН) Institút fir Theorétische ond Experimentelle Biophysik (ИТЭБ РАН) Niedęrlassong vom Institút fir Bioorganische Chemie "M. Sch.
QT000000168	I hann ned nôch dir gsuåchd.
QT000000169	I benn ned perfekt – aber als Schwob vrdammt noah droa!
QT000000170	Des „Macht nix“ macht doch ebbes.
QT000000171	Au de geografischi Südpol liet im Oschtteil vo Antarktika.
QT000000172	Aus erst zwöiti Frou noch de Leanda Cave (2012) het sie demit innerhaub vomene Kaländerjohr sowou d Ironman 70.3 World Championship und d Ironman World Championship für sech entscheide chönne.
QT000000173	Mir hend dô Zug grad nô griågd.
QT000000174	Denglåd ned so!
QT000000175	Sischd scho hell!
QT000000176	Du môgschd Mädlä, gell?
QT000000177	Gang vordraus!
QT000000178	Wenn no älle wäred, wie i sai sodd!
QT000000179	Wänn de Botrytis cinerea aber Trube, wo nonig voll usgriift sind befallt, no entstaht bi nassem Wätter di gfürchteti Rohfüli, wo mer au Suurfüli nännt.
QT000000180	Ihre Aŭgå hend gleichdåd.
QT000000181	Älle schlofad, oiner schbricht, so was nennd ma onderricht.
QT000000182	Mir hend nix gsähå ond nix gherd.
QT000000183	1] Pedal C–d1 Subbass 16′ Violon 16′ Octavbass 8′ Bordun 8′ Posoine 16′
QT000000184	Gang schlofa, Tom!
QT000000185	Maria hod a Halskeddå tragå
QT000000186	Endlich war i mid Tom alloi.
QT000000187	Du kôsch dahommä warda.
QT000000188	I benn em å Bood.
QT000000189	Was hend diå aigendlich vor?
QT000000190	Mr muåss ned älles dô, bloß weil mrs kå.
QT000000191	Mir hend viel zom ässå.
QT000000192	Wiå hend Siå des glärnd?
QT000000193	Älles isch noach Plan gloffa – bloss d'r Ploa war nix.
QT000000194	Irgend äbbes riåchd hier guåd.
QT000000195	Geld isch nix, abr viel Geld isch ebbes anders.
QT000000196	Dees isch å kenschdlichr Diamand.
QT000000197	Atmå gohd audomadisch. Ond wiå isch dees mid läbå?
QT000000198	D Usbildung goht 4 Johr.
QT000000199	D'Sähle isch ned bschdechlich.
QT000000200	De Guisan isch am 20. August 1945 als General verabschiedet worde.
QT000000201	Bevor du frogsch – koi Zeit.
QT000000202	Was wird jetzt bassiera?
QT000000203	Siå drenged Wodka? Abr dees isch doch des rainschde Gift fir d'Nervå!
QT000000204	De Tom isch Zimmerma, oder?
QT000000205	Im Septämber het sie aus erst Athletin zum scho dritte Mau noch 2014 und 2015 de Titu bi dr Ironman 70.3 World Championships ghout.
QT000000206	Do drbi het sichs um a jährligi ‚Gülte‘ vu 6ehalb Schillig vum e Hof uneme Hüs, 2ehalb ‚Vieding‘ vu me Burghüs samt dezoagherige Stell und Adeil annere Mihli ghandlet.[1]
QT000000207	Koin Roschdbroada isch au koi Lösung!
QT000000208	Tom isch en å Gaschdhaus gangå, weil er Hongr ghedd hôd.
QT000000209	Koiner isch fählerlos.
QT000000210	Wohnäd em schwäbischä Deppahausä wirkloch bloß Debbä?
QT000000211	Füf Wuche spöter het sie bi dr Ironman World Championship de zwöiti Platz beläit.[5] Vo de insgsamt 125.000 US$ Prysgäuder, wo d WTC im Johr 2014 usgschüttet hei, sy meh a d Daniela Ryf ggange als a jede angeri Triathletin bi de WTC-Wettkämpf.[6]
QT000000212	Gäld vrdirbt bloß den Charakter, der scho vrdorba isch.
QT000000213	Im Bergier-Bericht sind die militärische Sachzwäng, s Réduit und de General käs Forschigsthema gsi.
QT000000214	I gseh's nöd.
QT000000215	Kôsch du da Fernsäer ausmachå?
QT000000216	Dees gherd älles zu maim Plô.
QT000000217	I däd gärå nô amål mai alde Liebe wiedrsähå.
QT000000218	Im Gebäude hets zwei durchgehendi, 12 × 19,6 Meter grossi und guet belüchteti Arbetssääl, wo fürd Fabrikation grundlegend wichtig gsi sind.
QT000000219	Oschtantarktika nimmt mit über 8 Millione km² de wiitus gröschti Teil vom Fäschtland i de Antarktis i.
QT000000220	Aigålob schdengd.
QT000000221	Älle vó dęr WEG betriebene Streckeną sen en dęr Verkehrs- und Tarifverbund Stuttgart (VVS) integriert.
QT000000222	Mei Lieblingsgeräusch isch, wenn du dai Gosch häldsch.
QT000000223	D Durchschnittshushautsgrössi het 2,35 u die durchschnittlechi Familiegrössi het 2,94 Persone betreit.
QT000000224	Abteilonga
QT000000225	1 2 INV-BRG918 Kleiderfabrik Meyer, 1928-1929 (Dossier (Bauinventar)).
QT000000226	De Tunet Innebandyklubb (Tunet IBK oder numme Tunet) isch eine vo de gröschte Unihockeyverein vo Norwege.
QT000000227	I gang nô zu mainer Fraindin.
QT000000228	Hät dees Tom absichtlich dô?
QT000000229	Nur weil de en dr Zug kotzd hosch, bisch no lang ned bahnbrechend.
QT000000230	„Klopf, klopf"“ – „Wer isch doa?“ – „Die Liebe deines Lebens.“ – „Liag mi ned oa, Sbätzla kennad ned schwätza.“
QT000000231	Frejer isch är ä wichtigi Vudeanschtquelle dur Fischerei un anderi Nuzunge gsi. Hit isch er hoipsächlig Naturschutz- un Noherholungsgebiet.
QT000000232	Wiå hend ihr dees glärnd?
QT000000233	Jede Schbrôch hôd ihre aigene Grammadig.
QT000000234	S Buech isch alt.
QT000000235	Au nach em Bekanntwärde vo de Kontäkt vom Guisan mit französische und dütsche Militär het s Schwiizer Volch nid am Guisan sim Wille zwiiflet, die schwiizerischi Unabhängigkeit mit allne Mittel z verteidige.
QT000000236	D Daniela Ryf bi de Challenge Roth, 2016
QT000000237	Im Fürschtetum Liechteschtei, in de Niderlande und z Luxeburg isch Rivella scho syt lengerer Zyt erhältlich.
QT000000238	Richdig vrheirådet isch å Må erschd, wanner jedes Word vrschdôd, was sai Frau ed gsaid hôd.
QT000000239	2009 het sie z Des Moines gmeinsam mit de Magali Di Marco Messmer, em Ruedi Wild und em Lukas Salvisberg d Wäutmeisterschaft im Mixed Relay (Teamwärtig) gwunne und im Johr druf z Lausanne het sie de Titu im Schwiizer Team zäme mit de Nicola Spirig, em Ruedi Wild und em Sven Riederer erfougrych verteidiget und widerhout.
QT000000240	Sain Opa hôdn bei älle saine Pleen ondrschditzt.
QT000000241	I machs negschde Woch.
QT000000242	Wo kommt des bloß emmer her?
QT000000243	Edlfüli (au Edlriifi) seit me em Schimmelpilz Botrytis cinerea, also em Grauschimmel, uf riife Wiitrube.
QT000000244	Er hôd äbbes am Härzä.
QT000000245	I han se heid et gsähå.
QT000000246	Toms Hond hôd a blaschdiggugg gfresså.
QT000000247	Wer mid am Deifl isst, muess an langå Leffl hau.
QT000000248	Sorte
QT000000249	Sisch Meedig, net woar?
QT000000250	Sie isch im griechische Pavillon, wo wägem Bürgerchrieg läärgstanden isch, präsentiert worde.[10] Im glyche Jahr het sie de unvolländeti Palazzo Venier dei Leoni am Canal Grande mit eme Garte us em 18. Jahrhundert erworbe und umbuue laa.
QT000000251	En maira Hos' isch es Stoßband los.
QT000000252	Menner werdad domm ohne Fraua und Fraua welkad ohne Menner.
QT000000253	Liabr heimlich gscheid als oheimlich domm.
QT000000254	Vili Patiente bliibed aber über längeri Zit im gliche Muschter vo Symptom.
QT000000255	I woiß et, ob i Tom ibrzeigå kô.
QT000000256	Die drü Usbildigsort sind Betrieb, Bruefsfachschuel und dr Überbetrieblichi Kurs.
QT000000257	Worom duåds dees ned?
QT000000258	Gaffr hend diå Reddongsleid ghendrd.
QT000000259	I han nuibachns Brod kaufd.
QT000000260	I denk, Sia soddat ire Gosch halda.
QT000000261	Dr Näbl hôd se vrschluggd, bloß eäne Sdemmä hôd mä herä kennä.
QT000000262	Schbarå isch de richdige Midde zwischå Geiz ond Vrschwendong.
QT000000263	Rivella isch es cholesüürehaltigs, alkoholfryys Erfrischigsgetränk mit 35 % Milchserum, wo i de Schwiiz härgeschtellt wird.
QT000000264	Edlfüli gits bi rifä Trubä ab öppe 80 Grad Oechsle oder 12,5 KMW bi warmem Herbstwätter.
QT000000265	Ire Vatter isch vonere wohlhabende amerikanische Industriellenfamilien mit Wurzle im Kanton Aargau abgstammt; är isch 1912 bim Undergang vo de Titanic ums Läbe cho.
QT000000266	Tom ziagt d'Hoandbrems.
QT000000267	Due hei dütschschprachegi Mennonite us em Bärner Jura de hütig Ort Berne besidlet.
QT000000268	Äbefalls nach ihm benännt worde isch de Asteroid (1960) Guisan.
QT000000269	S Wirtshüs Zur Linde wird im im Salboach vu 1785 als traditinälle Platz fir‘s Hoch- un Rügegricht gnännt. Dert soll des Gricht vum amterende Gieboldhüsemer Amtsrichter un vum Aktuarius mit 13 Grichtsschöppe abghalte wore si.
QT000000270	En mairä Tass ischh no a bissle warmr Tee.
QT000000271	Wenn dir eber ebbes schenka will, no nemm's. Fortschmeissa kosch's ällaweil no.
QT000000272	Machmol wär i gern dünner – aber no fällt mir wieder ai, wia granadamässig guat Spätzla mid Soss schmeggad.
QT000000273	Nachher spiiled di acht beste Teams vode Liga d'Play-offs imene Best-of-5 Format gegenand.
QT000000274	Dr Schiedsrichdr zoigt ehm a Karte.
QT000000275	Sai Muddr isch dahoim gwä.
QT000000276	mach oifach dees, was dai Muadr said.
QT000000277	Mir machad weider, bis oiner blärt.
QT000000278	Der Hagel håt ällas zsemaghaoa, was aufm Feld draußa gwea ischd, Menscha, Vieh ond ällas Gwächs. Sogar Baem send zsemakracht.
QT000000279	Des greschde Broblem von dr kinschdlichå Entelligenz isch: Du kåschd ära koi Angschd machå!
QT000000280	Konstantin Walerjewitsch Malofejew, Oligarch Juri Anatoljewitsch Owtschinnikow, Wissąschaftlęr ond Mitglied vó dęr Akademie der Wissenschaften der UdSSR
QT000000281	An welchrå Haldestellå muåss i ausschdeigå?
QT000000282	Handlig
QT000000283	Oi guadr Fraind isch bessr als zee Vrwandte.
QT000000284	I gang grad zu må Fraind.
QT000000285	Dees mach i net noch amôl.
QT000000286	I benn wiklich froh, dass e hier benn.
QT000000287	Ältere Lüüt, die Symtom von de Schizophrenie gha hend, het mer anderi Wahnerkrankige diagnostiziert.
QT000000288	Chamäleô kennåd ihre Farb wexlå.
QT000000289	Demit sind aber kei Intelligenzdefizit gmeit, sondern Problem mit de Ufmerksamkeit, mit em Gedächtnis, und de Planig vo Handlige.
QT000000290	D Bevöucherigsdichti het 742 Einwohner pro km² betreit.
QT000000291	Melkt d'r Bauer mal sein Stier, trank der Seggl zu viel Bier.
QT000000292	Sie hend nüüt mit Schizophrenie z'tue.
QT000000293	Dädsch mi nemma, wenn i wedd?
QT000000294	Heit nemme ond morga ned glei.
QT000000295	Wenn i mir daine lachenda Aigla auf daine Bilder aschau, no woiß i, dass Frieda meglich isch uff dera Erda.
QT000000296	Lüt mer morn a!
QT000000297	Maria isch oinå, diå faggeld et lang romm – dui machts.
QT000000298	Ond Sia send ä Lehrer, gell?
QT000000299	Der Reidr hôt an Sebl en dr Hand ghett.
QT000000300	Im Dezämber 1941, churz nach Wiehnachte, het iri Heirat mit em Max Ernst stattgfunde[8].
QT000000301	En maim Läbå geits Heå ond Diåfå.
QT000000302	Au kaufde Schpätzla hend a Recht druff, gessa zom werda!
QT000000303	Schbreng mudig nai ens neie Jôhr, mit Gligg ond Fraid wirds wondrbar.
QT000000304	Woisch du, wo i dai Kennkart gfondå han?
QT000000305	Anerchennigspriis vom Kanton Züri, 5. Platz uf de Liste vom Zürcher Chinderbuechpriis La vache qui lit, (1984, für Der violette Puma.)
QT000000306	Scho schlemm, wenn mr emmer vrbesserd wird.
QT000000307	Du bisch meeh als di somm vo daine Wörter.
QT000000308	Näemerd hôd Schweinkottlets bschdelld.
QT000000309	Ganz nett! Aber hald ned Schwäbisch!
QT000000310	I denk, dass er bald zrickkommt.
QT000000311	'S Leba koa so schee sai! Musch's nur geniessa!
QT000000312	Wenn mir mol langweilig isch, widersprech i oifach meim Weib.
QT000000313	„Wo solle mr nohogga?“– „Uffs Fiedle!“
QT000000314	I han dees omsonschd gmacht.
