nds-5fa2456c62e6b6ebe84a0f4963acad5b	Laat uns wat versöken!
nds-9b1a6d09ab1dccc97c1feec44929335d	Dat deit mi leed, ik kann nich lang blieven.
nds-5dec49863165bf0a6eca7286bb25eb28	Ik heff mehr as een Maand in Nagoya leevt.
nds-e5c19c5d0e2748f192b6e5ff27c6dead	Dat is goor nich roor, länger as negentig Johr to leven.
nds-7aeaa7ba7096c309dd3cc39100083fc8	Oh, miene witte Büx! De weer nee.
nds-2f1e86269865848fff8eb38ccded95b4	Du büst en Engel!
nds-3492e85dfd80952b0259b08d24d75d9b	Du hest Glück hatt, dat he di nich beten hett.
nds-b445ebcf4b2462fc0be9a3f8d514c4b5	Hest du mi misst?
nds-0592cd277b87a4c1b641ba3042e07747	Hest du mi vermisst?
nds-e9122df2ba1d61be370d1828eb628b1f	Sünd de all egaal?
nds-2f8572c3d46680fcd0f61cf72f4e155d	Besten Dank!
nds-bd02a4b76a4af11b80d2cca259d4b814	Dat is ’n gode Infall!
nds-cc84be876518689bace9319903ae0920	Donnerslach! Dat is nich slecht!
nds-f29941027a32354d928dea23275e3d56	Warrt seggt, de Leevd maakt blind.
nds-635b65553c66d9825b5004174ef07774	Oh, dat deit mi leed.
nds-e74c78f2f97a29ff620e420d6d3757d7	Wo lang bruukt een bet na ’n Bahnhoff?
nds-a67bf79a1c45558175f8fee1292da066	Snackst du Italieensch?
nds-0b34565501c2ecf0c8fe4b6bfc8da1bc	Dröff ik en Fraag stellen?
nds-1bbe5c7e3236874791377df804fa3ec3	Dat harr ik nie dacht.
nds-b1d8cfd9f8f1770a06a5d5378a05af8a	Dat is temlich unverwacht.
nds-8b1b5a763bb9963aff8a22784e2483ce	Ik kann ahn Feernsehn nich leven.
nds-7ce36d4b69cf493041569783aadbc6cd	Ik heff en Droom.
nds-ab5db3b0f0254f7c2a3f6365c9a03fc8	Du büst an mien Sied, nu is allens good.
nds-3d7d58794efe095e78155f60c5a1155a	Ik heet Jack.
nds-49320c7cfc7f513d0ee3331229b49af2	Dat gefallt mi temlich good.
nds-193d479c94a3957c9732d920f167d71b	Seht wi uns morgen?
nds-d5864db05cd3225a3a749aa20d1374ea	Wees bedankt, dat is allens.
nds-07ee4419cc0eb780964802cdbc3c7dc2	Wat seggt de Klock?
nds-d94a6d2b98622240ced0c250268036d7	Dat is nich miene Schuld!
nds-8f49acc7fe626b29a25dffd986ab5389	Ik will een Nacht blieven.
nds-21b1a9ded98ccbd5df010f40a64052cb	Woneem sünd de Duuschen?
nds-b96c08414d5dab03dcf527072f3b6340	Laat mi tofreden!
nds-33dd026c65216ca62f17e3e10b9e92d7	Vondaag is dat temlich hitt.
nds-cabc734b17a00849e4ed5a128c1af3ee	Is nüms kamen.
nds-adff10867bea6c13dd87681fc34813ee	He hett sien Verspreken braken.
nds-9c7bb90d9066e3ec559014943d871299	Wat weer de Welt ahn Froonslüüd?
nds-74e89dd7688c50ad405cfdb0fdaf1fb1	Un wat schöölt wi doon?
nds-6a25389c8a0e853c89ce066a69e3c6fd	Ik heff Koppwehdaag.
nds-afdf90032db02867c5f56001a2cd965e	Wo geiht di dat? Harrst du en gode Reis?
nds-1001d51423d1ca93e37faeae33070b35	Dat is to düür!
nds-b3004af9865d94e3df02a8ee7a3f85b5	Dat is en kumplett Kuddelmuddel un dat geiht mi op de Nerven.
nds-04f77bac023a2fb95eb5f09caf1493f4	Ik will in Paris studeren.
nds-e6e095660424f6e4d67d7623126f0bb3	Ji weet nich, ’keen ik bün.
nds-66dcd10c134fe7f490999a079d3428de	Worüm ittst du keen Grööntüüg?
nds-cec4257101579afb29ac8660906c3be8	Dat Auto föhr gegen de Müür.
nds-18c921bacaf7980f868eeacc7e6a7cc4	Room is nich an een Dag boot worrn.
nds-7b3b72d28bed1b96e287aa292421ac96	Ik verstah keen Düütsch.
nds-33685f5e3c081dc4dcd1b1e8db1dff44	Dat gifft 10 Soorten Lüüd op de Welt: de, de dat Binärsysteem verstaht un de, de dat nich doot.
nds-e98651e5ee60faef45b61127a03407d0	De Feern sünd vörbi.
nds-087b8072745cbfd1d7bc252c665a5ab3	Dat is de reine Wohrheid.
nds-1e61b7ecf6b5a6ed156e2eb103688bfa	Dat is koold.
nds-57d52fa91706bd4d5282828413fbe641	Du hest recht.
nds-60beea8105682e992e90bf19e6bfe08c	Du büst mien Typ.
nds-6435bf2a6984eb8da5de23e63d889a75	’Keen snack ik mit?
nds-83a9204c541fe81e3ca414477b706831	Dat Leven is mooi.
nds-c959e28680734a8ef5d660b82652e505	Hey, kiek dor, en Aap mit dree Köpp!
nds-7809a32cfb734938c831a7032bf1dce8	Wenn een weet, dat wat Leegs schehn schall, dat een to ’n Bispeel na ’n Tähndokter mutt oder na Frankriek gahn schall, denn is dat nich good.
nds-9b2e3cf86cc327806f1a8a512b768d9c	In ’e Theorie gifft dat keen Ünnerscheed twüschen Theorie un Praxis. Aver in ’e Praxis gifft dat een.
nds-45cd70683eaf0beb5fccb1536b9985a5	Allens, wat to dumm to ’n Seggen is, warrt sungen.
nds-26d049b2c8152def5338d15e28bc6e64	Dat regent.
nds-08deeca62d27d932c0b611a97ad5a409	Wenn twee Minschen jümmer dat sülve Verscheel hebbt, denn is dor een bi över.
nds-400c6da92ad14012b331e3c929fd0b68	To laat.
nds-a2f546454eec17f97989eb3e228ba25f	Hallo? Büst du noch dor?
nds-c990f7216abbc9618ab936d25e38af3b	Vonmorgen heff ik Feernsehn keken.
nds-0112ee52f4c3785f71ebe0a9b6ed96a3	Dien Brill is an ’e Eer fullen.
nds-d712bfc70d8cee51a2b6db47a4740cbb	Ik bruuk mehr Tied.
nds-6bb04fd76d955f2e0902b2f9d40976b5	Hest du em in ’e Universität drapen?
nds-2550f63c313daca62f9cf5afe3176585	Ik heff von di dröömt.
nds-2838d2f88359f23748ec1ff90bd7f7f9	Ik lööv, ik mutt pruuschen... Geev mi en Snuuvdook.
nds-42ccee60fc11e9aabe0dea49b76cab66	Du harrst en masse Tied.
nds-5c8166305772263c7420d3bbe63a767a	Een is nienich to oold to Lehren.
nds-0296515e4566a0a0d508fcd92b80ed6f	Nüms is to oold to ’n Lehren.
nds-baa05bb0fa26c491669ad687e80a78e6	Ik mag de School nich.
nds-336594e5925bff2453b989e45c48db38	Ut wat för en Land kummst du?
nds-3c6555260780a8d3408d639204792512	Ik heff veel von di lehrt.
nds-c50796a934a279235eff757f1220df06	He slöppt as en Baby.
nds-71a0b6ef8c8dd9d477bcec25e013c747	Ik kann mien Hannen op ’n Bodden leggen, ahn mien Knee to bögen.
nds-df3ad3ffb424339925c71ff79eacb077	Jedereen will geern glöven, dat Drööm wohr warrn köönt.
nds-1e50c2b7c1df35c998f948b77e5055a2	De Welt dreiht sik nich üm di.
nds-af4ea9a00c6ac8b7e4c286a022f18bd5	En Kanickel hett lange Ohren un en korten Steert.
nds-d02499452343279a7f2857cee2793162	Ik kann dat gornich aftöven, in de Feern to föhren.
nds-430ee7daaad73582db9d8e17a6e9541d	Een, twee, dree, veer, fiev, söss, söven, acht, negen, teihn.
nds-be90f2b8a803ca76d23597b8ca5c881c	Een, twee, dree, veer, fief, söss, söven, acht, negen, tein.
nds-88c8d42afc0c2ac6c343546117419a3b	Woneem is de Toilett?
nds-3889ff69ed1ff1fbc9a0c0b85654a51d	De Temperatur von ’n minschlichen Liev liggt üm de 37 °C.
nds-c44260d0a9076da4df9b11329ef9b811	Worüm köönt wi uns nich sülvens ketteln?
nds-58166b519c63b9ee7afb7f1811ae6498	Hest du al en Boort?
nds-4b7fbd02051916e57fe9d9be3bac8388	Woneem büst du?
nds-bb2073ecb2af4c0f8ec84c005a5664d1	Dat is en Sackstraat.
nds-0c1e1d878dd118b6213421982c31606c	Wenn du mi dat Dansen lehrst, denn schall ik di mien versteken Noren wiesen.
nds-812a9a7db3368d1a3a77ed5dafc180ce	Kees is en fast Nehrmiddel, dat ut de Melk von Keih, Zegen, Schaap oder annere Söögdeerten maakt warrt.
nds-8cd924d7e71cd6a898f54d555c7c700a	Wat is de Vördeel von disse Technologie?
nds-60c56d39a76151de0a0a5cbe51c057e6	Wenn du dat Programm nich hest, denn kannst du dat nu dalladen.
nds-14c3192408b48e473e90694f9bf9fafa	De Söven Fragen, de sik en Inschenör stellen mutt, sünd: wokeen, wat, wannehr, woneem, worüm, woans un woveel.
nds-5ea5a8e01a9daecabd502c10597c90c5	Bi ’n Intridd is en Gedränk al mit in.
nds-6ad7a8f34bc9ea0a736aeeeece5500a2	Woveel Drinkgeld warrt in Spanien geven?
nds-21f21cadcbb3a4939465b9c6b879fd20	Schaamst du di nich, so to snacken?
nds-c0e976562eadbf8018d5dd2e874d610c	Dat Leven is keen exakte Wetenschop, dat is en Kunst.
nds-f46c10a1b4052c9ea56e9a78e89c1eb5	För den, de bloot en Hamer in ’e Warktüügkist hett, seht all Probleems as Nagels ut.
nds-cf38bcce3ca4171faba50d76cd405439	Höpen is keen Strategie.
nds-d2a3bdc319fcf9611cf79a28c28fa315	’Keen sien is dat?
nds-ac823c65f891e0b714040bc2268d78bb	Dat is nich sien Saak.
nds-8cacc8ba57cc652e7cba39c199d5b125	Man sütt em sien Öller nich an.
nds-126a013f99326581957737797b4d55f9	Dat heff ik würklich nich von di verwacht.
nds-ab124cb39576afe85096afca6c58c31a	Ik kenn em nich.
nds-e653c2371f93f554af78b5c3084f43b9	Dat is nich wichtig.
nds-b8df5403589a3a4c03492c44001ce86b	Ik gah elk Morgen inköpen.
nds-a8dd1a0f67656d3b36474fe824827b7c	Dat is to good üm wohr to wesen.
nds-b442aea1f34a924cd883c2ca1e47e384	All Weeg föhrt na Room.
nds-6286c4a202d2b7f154d07d406a253a93	Över Smack lett sik nich strieden.
nds-df385953c3ff9ba55a96033500855c88	Nachtens sünd all Katten grau.
nds-8aef674b3a0f8b9d06710880dc01c3fc	Ik verwacht nix von di.
nds-3ef8d30b1ac1cafea6ce0db7e95965e5	Dat schütt di recht.
nds-2ae7a427257bde3603897894a48930ec	Goden Aptiet!
nds-04deb8487b3413d166c395ded5240da5	Wenn dat nich wohr is, denn is dat tominnst good utdacht.
nds-5d0d7ee2e8fea2e6c34d33697cb38477	Wenn man toveel itt, warrt man dick.
nds-9f3027602562779ce530b5cdb3935c50	Wenn een toveel itt, warrt een dick.
nds-ea2f019e47144b823099e11ae98257a5	Dat is de Stad, von de ik di vertellt heff.
nds-3e4bcf56b085e8ba449323148852fbfc	Dat is de Stad, över de ik di vertellt heff.
nds-7ca457ab0e86a1ee12b645955e173991	Ik heff Kaviar eten.
nds-a093fca0a68807319a16a22a720f1242	Wat köst dat?
nds-ab1134527a03cc315e22fcce6b98e416	Hest du en Drinkgeld dorlaten?
nds-f36aaacc4a61dd1d09e9ae5ba4314523	Se weet nich maal worüm.
nds-1e20c6308356b062b812800e27f7cd31	Du hest di temlich verännert.
nds-239314a5e411f846c002d54d04ab452e	Wi hebbt dat schafft!
nds-8b1505ff6b98f4280e9183e36d3ee2dd	Wult ji en Köpken Kofi?
nds-e3c6ff1618a486540c9c9e738a853243	Maria hett lang Hoor.
nds-b13d738b0b61e08297cadda60a7a47b8	’Keen is an ’e Reeg?
nds-1842d309471b3d817f9fec39e6a249a6	De Film hett 2 Stünnen duurt.
nds-b84b5fa6aa46b88cfc792eccf1e3e41d	In ’n Winter slaap ik mit twee Deken.
nds-efd94f28849170db9962abec7e7fe688	Dat is vör lange Tied passeert.
nds-924efe4cd83308bb99af730deed57610	Dat geiht nich, in een Maand Engelsch to lehren.
nds-fe7751427837cbb1541aad09b2ff37a5	Wi hebbt twee Döchter.
nds-b1650f361e770e7bb92136a9fe54e661	Iesen is harter as Gold.
nds-e9c399cf58960126e0058d7964bd59f6	Dit Museum is en Besöök weerd.
nds-c7bf73d4248be79551f8c0f380bcdd1f	Dat Museum is en Besöök weerd.
nds-b1a767af87a7e9a750f8a0efff278663	He hett dree Glääs Water drunken.
nds-d4a93d2b10db2003ed0d05964151f41e	Ik fleeg na Amerika.
nds-f9c873eaa4070679266f04d9402a0208	Ik heff en Froo in swart sehn.
nds-02e2c859f2dd4f1e3688cd1ca05aa563	Siene Froo kummt ut Kalifornien.
nds-b41c9bc17d7af796b00cd9ea6700daf4	Mien Tante hett dree Kinner.
nds-41a2c9b27f2e2e5115b74f1595fe4901	Ik heff dat Graff von mien Vader besöcht.
nds-b9c145fac36b90404f674548c50369e7	Krieg is en Verbreken gegen de Minschheid.
nds-f39c38b80b2c7b07561218da87afe685	Dat is en Book över Steerns.
nds-c7363bae37a051d3795f6620676f1889	De Polizei jaagt mi.
nds-6140f66c5469f63f49245fe865e14c50	Wi müssen lang op ’n Bus töven.
nds-99559b0c0a79e3bd8c07f732a9ee2769	Hest du em keen Breev schreven?
nds-343f332ed7f65b9d860e78c5c1538a81	Kinner bruukt Leevd.
nds-300b8f93459093bca2490f9f579668a4	Ik bün en Mann.
nds-aa605f7fa81fe5de078874b3bad769ec	Oh! Ik kenn den Mann.
nds-7bf66932bc3065c287df5b762e293e5b	Ik bün en free Mann.
nds-11061a77f3d92b33ca0e6dd1a53ad131	De Laden verköfft Daagbläder un Tiedschriften.
nds-01992a4a76a1b9b9536e9463e4c8935b	Worüm weenst du?
nds-9de6e1f111d93d2fbee389adcfc48a48	Dat is en Geschenk för di.
nds-adb3e2d8ec5201426407d8cf001a86c0	Ahn Water kunn nüms op de Welt leven.
nds-c1928247cf2178bdefe68b36cc86db5e	Snack nich so luud!
nds-32f6612229e80670cd494e9f3feefa7a	Schall de Sünn morgen schienen?
nds-ca7680ab5a22458c4d283ae8914c310f	Spaniers hebbt twee Achternaams.
nds-a4613fb806ee8abdcdd6bdb5566ba439	Katten speelt geern in de Sünn.
nds-59257ba69d0fd0064aec2de3c39da1e7	Katten speelt geern in ’e Sünn.
nds-d186f537e81bcee8088f1cb09e413289	De Jung smeet mit en Steen na ’n Pogg.
nds-599be0c6e4baf5c9db5faae1c4d064a3	Weetst du, ’keen se is?
nds-f8efe08eedf28662089521e6dc5f9bc5	Slaap good, Timmy.
nds-b489dd33a12cae1d5d05c34bb046ef96	Ik weet nich, wat ik seggen schall.
nds-373841e59638e608903154705d97ccd5	Wat för en groten Supermarkt!
nds-627cbb17de40d77edd3edad5c96c5e83	Wat för en smucken Regenbagen!
nds-cff13638e4e617928c352f5eddcd1132	Vör mien Huus is en lütten Goorn.
nds-b338d2868a168f9fb3d349d62a9d7f18	Schriffst du en Breev?
nds-52f1e9196abb194b6f0b4bf0eeb9589e	Se hebbt freet, ahn dat jemehr Öllern dor von wüsst hebbt.
nds-0ddc01071e3569cb8bfca461840503bb	He is von ’n Boom dalfullen.
nds-0f6002e21f901d17cbaba6c93b5ebc29	He is dree Johr öller as se.
nds-721757f6cbf9ba56a47c3d269f150111	Ik gah to Foot.
nds-4e9d0683fbd05d7995da3caf06a0d93c	Dissen Harvst gifft dat veel Taifuuns.
nds-1bba4a3f3ca0353e5f2aeff5c1f10059	Ken is in Kyoto ankamen.
nds-91683491c6615589ac40ce354097e97d	Schriffst du jüst en Breev?
nds-3d906c658dc8d476668efa62b08e68c6	De Bööm sünd gröön.
nds-177225f1b0930a579e175f4a51dd5a13	In ’e Köök is en Katt.
nds-76f7cf26790909b56a36a992f7bc0734	Opa hett mi dat köfft!
nds-aebdeb58c289979f971929a868673f33	„Ween nich“, seed se.
nds-e92f6d0b118e4e3795df1a100fe5c9a3	Ik höör Musik.
nds-b5f82601573f014d360d2de2ad7bca63	He hett mi en langen Breev schreven.
nds-0dac35be93c82a2afb2e16749f9873fa	Büs du n Student?
nds-0fd67aa24eb93dcf17026d08592f3c45	Ik heff allens Geld utgeven.
nds-92f76a1a654d60397475c4a4d0b16fe4	Dat is mien Verscheel.
nds-2c6f8fd046519f3972a1dd9ffa1965c2	De Katt hett mi kratzt.
nds-21ce9c68b3e3138f16fabaa59d3d9807	Isset wohr, dat Midori so goot Vigelien speelt?
nds-d8aef9a00f756e9c2ef1abf44ec4c595	Paris is de Höövdstad von Frankriek.
nds-5c83b3f7b0410f0be75e603495785099	Güstern heff ik em hulpen.
nds-4a8c55848c3d15c29343ea4a2a8f97d9	Ik heff Tony hulpen.
nds-dbfb1717cc0d499b17f1a55c78970486	Wi hebbt en Barg to Eten.
nds-75bf9aef550e9389d1978046b617d9ab	As ik lütt weer, heff ik Büxen dragen.
nds-75632e6faa7398b5685d6491c2c1eac8	Roop mi an, wenn du em drapen hest.
nds-86b041196663ad11846083fbc86a1c96	He söcht en betere Arbeid.
nds-e712a54d73903b33aebd1d2f04d841e1	Achter mien Huus is en Kark.
nds-28c153e2b031426cea925db57f9790f7	Morgen is Wiehnachten.
nds-f1deffe080bf4f12142a3a975db40e44	Ik harr geern en Tass Kaffe.
nds-d05b7b2cd84b3643db6bff0af89d3c13	Disse Gitarr is so düür, dat ik ehr nich köpen kann.
nds-b8e6f15f810c0c1f7a5dfdfe5dc043da	He see, dat he mööd weer un vundeswegen fröher na Huus gahn wörr.
nds-0c28fe4296846af99e9994d654ad100b	Worüm mutt ik dat doon?
nds-77d21cc60250ec7efc53b8b80df27d48	Gode Fraag.
nds-90c570bf4c2b1127dff9e877a3636e10	Laat uns trügggahn.
nds-4ded6c340849cbec04ac8c97fcf5dac3	Dat is splinternee.
nds-cd9238c4cf886a5ef4fe934f23162df0	Dat is gloodnee.
nds-c45644945457bafd6d55190817cede02	Dat deit mi leed. Ik nehm trügg, wat ik seggt heff.
nds-a79d0a6c24dceb1c0152a35e80ac3e61	Anter de Fraag.
nds-f996558ee4ecbef7523164cc02bcb5fa	Ik heff en Fraag.
nds-9543083cb9a310e8561ed6026afe021e	Dat is hitt vondaag.
nds-5fc0bbc19825a35dbcaa48317e902c3f	Ik will di de Stad wiesen.
nds-e2cf7ebcedd0888959c76ec32b327f64	Ik warr di de Stad wiesen.
nds-b17323ebd9dc332740ce26953adde1a5	Ik gah dor nich hen trügg.
nds-21bc970d7a12685cc8be473967940fde	Do dat Licht ut. Ik kann nich slapen.
nds-35100dcc4fa8087aecc5a25a81332ed1	He lach.
nds-f6649865c5a2c34af305059f0d0d95f2	Ik heff nich veel Geld.
nds-32af9572e491af93f35aaea7529a9e2e	Glas brickt licht.
nds-b9dd5293bcfe281bda40ea0751c36fbc	Ik eet geern Appels.
nds-a9761d772e9f332995e7e506f715c31e	Ik bün en Löper.
nds-42ee507b159728f4d301e2266ed8bf16	He snackt würklich good.
nds-f34940145a1b4c870c7b7e88e53e9cc1	Ik bün so mööd, dat ik kuum lopen kann.
nds-d6e919d55f1022f0d9a1da68089cba8b	Dat gifft man een Laden op ’t ganze Eiland.
nds-ef68b2204e5df5807d5a5eaa822a640e	Du musst op de Fraag antern.
nds-94c809b447a093f0fcbd1c9e6f6d3d7e	Ik kann nich länger töven.
nds-b1c8e5c65d4dcb6ce3f41ce5a16ecbf4	Ik heff bloot en lütten Goorn.
nds-e648e4dd9504911724b41be09f845fca	De Swiez is en neetraal Land.
nds-c55977bd3790a1b9bc018ffe61c3753c	Bill weer in Japan.
nds-afe66d7b69cdcb67ec2e30e0fcb72e94	Franzöösch warrt in Frankriek snackt.
nds-0d3be34b401f1bf376f17a901c06c9bc	De Christen glöövt an Jesus Christus.
nds-d441e0f3371f73133ddedc85f84fa563	Mien leevste Klöör is Rood.
nds-75bd9801b8daee73b428f2cad9ece4d5	Düütsch is keen lichte Spraak.
nds-be283fd7a6568d81592f6ffdab43c1a2	Nedderländsk is naig vöwant an Düütsk.
nds-d84d25186e5be1b1f99d3ec53e5d765e	Snackt he Engelsch, Franzöösch oder Düütsch?
nds-c281085e3a09e2926417cf70394516ba	Susan is vör een Stünn gahn.
nds-d9b0a2482ce33722a7a1b24ea650c5e6	Ik bün free.
nds-3234d2bbc598a016604cc63c9bab52b4	Dit Bladd köst nix.
nds-3a85813b1a670599a45702efd8212b97	Uns Tog höll opmaal an.
nds-48c746c8e815031f447a75266e7248d7	Du hest keen Hart.
nds-41a60d005ac19cca5fedf02e85cc0fac	Sien Hart is braken.
nds-37f1fae578318cbdf60bc5aef4713ce1	Wi hebbt in Tekenspraak snackt.
nds-7c481342ed05a084b447e6656c060f02	Gode Reis!
nds-5eff4fd9dcfd373e6bb16299bae8cc3c	Se plaant en Reis.
nds-b1b8e91959867b4afa4371643c14d46e	’Keen hett dit Book schreven?
nds-b831133a13f0eced171a34e767659639	Woneem is dat Book?
nds-83610c6b7a68b6bade24a776ab3643b0	Echte Fründschop is mehr weerd as Geld.
nds-05bbe1918dbfe801b45c067abd68b9d5	Drögen Sand nimmt Water op.
nds-e5cf951db4a8926275999f6b07faba41	Dit Water smeckt good.
nds-636662f2e7c584fa59e96b65bb85f678	De Sommer is vörbi.
nds-0549764259193cbcdc129edc8401fdad	’Keen is disse Froo?
nds-63c2b30dc341cfb35152dcfbc192c132	Disse Froo hett twee Taschen.
nds-b49af3c3aae5f71fe3e1d8941612466c	Disse Theorie hett dree Delen.
nds-30eabe7e4066d325004f635a194dab07	Jümmer wenn se tohoop kaamt, striedt se sik.
nds-0fc8053162fdec095561d1d83e25921f	Du schusst mehr Aavt eten.
nds-7c395ef8c8176594e32230478ce04039	Suup nich so veel un slaap mehr.
nds-1bb23489f073aab262b0378548ddd4f8	Ik heff jümmer weniger Tied to ’n Lesen.
nds-afefd9a6fc3fe91b101d383f3ae3b86b	Ik bün jüst hier ankamen.
nds-851fda733937d62113c5bdaa316a2a8f	Buten de Worteln gifft dat nix, wat he nich itt.
nds-2e443c78574fe0040e137bb5fe14e538	Godd hett de Welt schapen.
nds-153d8e8bbc5be79657ed3d0e57dfd5c0	Du schusst nich ungedüllig mit Kinner wesen.
nds-ae7933857efe262a6cafc140711fe546	Wenn ik dor von weten harr, denn harr ik di dat vertellt.
